MIN_player,FGA,FG_PCT,FG3A,FG3_PCT,FTM,Home,Rest_Days,PTS_Last_5,opponent_id,OPP_PTS,OPP_FG_PCT,OPP_FG3_PCT,PTS
32,15,0.467,10,0.4,3,1,2.0,31.0,1610612758,52.9,0.479,0.385,21
31,15,0.6,10,0.5,7,0,2.0,31.6,1610612760,84.9,0.455,0.36,30
31,16,0.5,11,0.636,5,0,2.0,29.0,1610612739,64.7,0.462,0.37,28
33,26,0.462,17,0.412,3,0,1.0,31.0,1610612765,68.9,0.488,0.369,34
34,17,0.353,13,0.462,5,0,2.0,27.2,1610612743,61.1,0.457,0.355,23
33,24,0.375,14,0.286,8,1,3.0,29.0,1610612739,64.7,0.462,0.37,30
36,25,0.44,13,0.385,11,1,1.0,30.6,1610612750,57.7,0.449,0.352,38
40,21,0.381,11,0.455,4,1,6.0,30.0,1610612760,84.9,0.455,0.36,25
35,14,0.571,9,0.556,11,1,2.0,29.6,1610612745,61.7,0.464,0.352,32
28,15,0.4,8,0.125,3,0,2.0,28.2,1610612756,64.3,0.464,0.363,16
35,20,0.55,14,0.5,6,1,2.0,29.2,1610612759,46.5,0.481,0.362,35
37,20,0.4,12,0.333,9,0,4.0,27.4,1610612758,52.9,0.479,0.385,29
33,15,0.533,9,0.333,7,1,2.0,27.6,1610612746,60.3,0.472,0.362,26
37,18,0.389,9,0.444,4,0,2.0,25.6,1610612746,60.3,0.472,0.362,22
34,18,0.444,13,0.385,10,1,4.0,28.6,1610612757,49.4,0.495,0.354,31
40,20,0.5,12,0.5,8,0,2.0,28.4,1610612760,84.9,0.455,0.36,34
32,24,0.333,15,0.267,4,0,4.0,27.4,1610612756,64.3,0.464,0.363,24
34,17,0.294,13,0.231,4,0,2.0,25.6,1610612746,60.3,0.472,0.362,17
35,22,0.636,8,0.75,3,1,2.0,28.6,1610612751,57.3,0.472,0.373,37
31,12,0.167,8,0.0,3,0,1.0,23.8,1610612757,49.4,0.495,0.354,7
38,21,0.524,11,0.545,5,1,2.0,23.6,1610612738,70.6,0.455,0.354,33
27,18,0.5,13,0.615,4,1,3.0,24.8,1610612764,55.1,0.5,0.363,30
30,18,0.611,7,0.286,3,1,1.0,26.8,1610612757,49.4,0.495,0.354,27
34,21,0.333,13,0.231,1,0,2.0,23.0,1610612743,61.1,0.457,0.355,18
32,15,0.2,8,0.25,5,1,3.0,24.2,1610612748,40.7,0.47,0.355,13
35,25,0.36,15,0.4,1,1,2.0,22.6,1610612742,66.3,0.477,0.369,25
35,20,0.6,9,0.444,8,1,3.0,23.8,1610612753,52.0,0.476,0.357,36
35,23,0.478,12,0.417,3,1,2.0,24.4,1610612743,61.1,0.457,0.355,30
31,19,0.368,12,0.333,8,1,1.0,26.0,1610612765,68.9,0.488,0.369,26
30,14,0.143,9,0.0,5,1,2.0,25.2,1610612761,78.7,0.492,0.374,9
25,13,0.308,8,0.375,4,1,3.0,23.2,1610612740,33.3,0.464,0.351,15
35,24,0.333,15,0.4,5,0,2.0,21.4,1610612741,69.5,0.471,0.367,27
33,20,0.55,9,0.333,1,0,3.0,20.6,1610612763,49.2,0.476,0.38,26
31,16,0.438,8,0.625,6,1,7.0,20.4,1610612737,83.5,0.496,0.385,25
36,26,0.5,14,0.429,1,1,1.0,25.2,1610612758,52.9,0.479,0.385,33
43,35,0.486,21,0.429,3,1,2.0,31.4,1610612747,48.6,0.475,0.376,46
35,17,0.706,13,0.615,5,1,3.0,33.4,1610612755,67.3,0.47,0.356,37
32,16,0.375,9,0.444,4,0,3.0,32.2,1610612763,49.2,0.476,0.38,20
41,38,0.579,23,0.435,6,0,1.0,39.2,1610612737,83.5,0.496,0.385,60
34,24,0.5,11,0.364,1,0,2.0,38.4,1610612751,57.3,0.472,0.373,29
25,7,0.286,4,0.25,4,0,2.0,31.0,1610612755,67.3,0.47,0.356,9
30,22,0.682,16,0.688,1,0,1.0,32.0,1610612754,73.0,0.495,0.363,42
34,22,0.455,16,0.563,1,1,2.0,34.0,1610612756,64.3,0.464,0.363,30
32,19,0.474,16,0.438,0,0,2.0,27.0,1610612762,58.5,0.486,0.396,25
35,31,0.484,19,0.474,2,1,2.0,29.4,1610612746,60.3,0.472,0.362,41
35,14,0.286,8,0.25,6,0,1.0,30.8,1610612762,58.5,0.486,0.396,16
32,24,0.5,13,0.462,2,1,7.0,28.8,1610612747,48.6,0.475,0.376,32
31,14,0.357,11,0.273,2,1,1.0,25.8,1610612766,38.0,0.497,0.388,15
32,19,0.316,10,0.1,7,1,2.0,24.8,1610612743,61.1,0.457,0.355,20
30,21,0.286,16,0.25,2,0,2.0,20.2,1610612764,55.1,0.5,0.363,18
32,26,0.423,18,0.444,1,0,2.0,23.2,1610612752,70.4,0.469,0.361,31
30,22,0.409,15,0.467,0,0,1.0,21.8,1610612761,78.7,0.492,0.374,25
17,13,0.154,9,0.0,0,0,2.0,19.6,1610612738,70.6,0.455,0.354,4
31,18,0.556,10,0.6,3,1,3.0,21.4,1610612749,53.3,0.47,0.356,29
29,18,0.278,12,0.25,2,1,1.0,20.8,1610612741,69.5,0.471,0.367,15
34,24,0.5,10,0.3,4,0,7.0,20.8,1610612747,48.6,0.475,0.376,31
33,20,0.4,13,0.308,7,1,2.0,21.2,1610612752,70.4,0.469,0.361,27
24,9,0.556,7,0.571,0,1,2.0,23.2,1610612763,49.2,0.476,0.38,14
35,24,0.375,18,0.333,1,1,2.0,22.4,1610612754,73.0,0.495,0.363,25
30,21,0.429,11,0.455,8,0,2.0,25.6,1610612750,57.7,0.449,0.352,31
31,15,0.467,10,0.3,0,0,2.0,22.8,1610612748,40.7,0.47,0.355,17
35,18,0.333,8,0.375,2,0,1.0,20.8,1610612753,52.0,0.476,0.357,17
32,18,0.5,11,0.364,1,0,2.0,22.6,1610612766,38.0,0.497,0.388,23
33,23,0.522,15,0.467,2,0,2.0,24.2,1610612759,46.5,0.481,0.362,33
32,18,0.278,5,0.6,0,1,2.0,20.6,1610612742,66.3,0.477,0.369,13
31,14,0.643,6,0.333,9,0,2.0,23.0,1610612745,61.7,0.464,0.352,29
35,23,0.391,14,0.357,5,0,1.0,25.2,1610612742,66.3,0.477,0.369,28
32,9,0.778,6,1.0,3,0,4.0,25.2,1610612747,48.6,0.475,0.376,23
36,22,0.364,16,0.313,1,0,2.0,23.0,1610612757,49.4,0.495,0.354,22
32,23,0.522,13,0.538,2,1,1.0,27.0,1610612740,33.3,0.464,0.351,33
25,10,0.4,7,0.429,6,0,7.0,24.6,1610612757,36.2,0.473,0.369,17
27,20,0.35,13,0.308,2,0,2.0,23.0,1610612762,54.7,0.485,0.366,20
27,11,0.545,7,0.571,2,1,2.0,22.0,1610612746,75.6,0.45,0.334,18
24,15,0.467,9,0.444,6,0,7.0,22.4,1610612764,55.2,0.48,0.364,24
34,17,0.471,9,0.444,7,0,2.0,21.2,1610612738,74.5,0.463,0.336,27
24,10,0.5,4,0.25,1,0,2.0,20.2,1610612739,65.8,0.458,0.387,12
37,23,0.565,13,0.538,3,0,2.0,23.4,1610612760,87.3,0.423,0.344,36
35,27,0.519,12,0.417,4,1,2.0,27.2,1610612742,62.7,0.449,0.339,37
26,9,0.444,7,0.429,2,1,3.0,25.0,1610612763,42.9,0.438,0.348,13
32,21,0.476,15,0.4,0,0,3.0,24.8,1610612746,75.6,0.45,0.334,26
30,10,0.7,6,0.667,5,1,2.0,27.0,1610612737,59.6,0.472,0.398,23
33,13,0.462,7,0.571,3,0,2.0,23.6,1610612740,54.5,0.49,0.379,19
32,16,0.313,10,0.3,1,0,1.0,19.0,1610612759,48.2,0.463,0.346,14
29,17,0.471,16,0.5,4,1,2.0,22.0,1610612751,52.3,0.493,0.377,28
